	item	RT	ACC	literate	number	list	pp	subject
3	C4.jpg	22.044285673186092	0.0	y	8	a	y_8	11
4	C12.jpg	17.075268220280122	0.0	y	8	a	y_8	11
5	D7.jpg	28.56098468256096	0.0	y	8	a	y_8	11
6	D12.jpg	19.802195522323014	0.0	y	8	a	y_8	11
7	E1.jpg	7.1503946161828935	1.0	y	8	a	y_8	11
8	E5.jpg	16.219286412699148	0.0	y	8	a	y_8	11
9	E7.jpg	16.58260074291684	0.0	y	8	a	y_8	11
1	A10.jpg	26.774069318078546	1.0	y	8	b	y_8	11
2	B4.jpg	15.959375826885662	0.0	y	8	b	y_8	11
3	B9.jpg	11.970720966222869	1.0	y	8	b	y_8	11
4	C6.jpg	13.584862233834428	1.0	y	8	b	y_8	11
5	C10.jpg	25.946764803727998	0.0	y	8	b	y_8	11
6	D8.jpg	14.935076449415645	0.0	y	8	b	y_8	11
7	E2.jpg	23.69465455837781	1.0	y	8	b	y_8	11
8	E4.jpg	19.303741205367263	0.0	y	8	b	y_8	11
9	E9.jpg	10.694242457273504	0.0	y	8	b	y_8	11
1	A11.jpg	30.889235571950852	0.0	y	9	a	y_9	12
2	B12.jpg	84.37121773281069	1.0	y	9	a	y_9	12
3	C4.jpg	49.483796709013404	0.0	y	9	a	y_9	12
4	C12.jpg	99.91321410857745	0.0	y	9	a	y_9	12
5	D7.jpg	36.617677378362714	0.0	y	9	a	y_9	12
6	D12.jpg	40.33639526515617	0.0	y	9	a	y_9	12
7	E1.jpg	36.61561767575768	0.0	y	9	a	y_9	12
8	E5.jpg	7.43931758725921	0.0	y	9	a	y_9	12
9	E7.jpg	35.705291932352345	0.0	y	9	a	y_9	12
1	A10.jpg	14.832258840957365	0.0	y	9	b	y_9	12
2	B4.jpg	13.11954136262102	1.0	y	9	b	y_9	12
3	B9.jpg	28.2432098295194	0.0	y	9	b	y_9	12
4	C6.jpg	85.64626562910234	1.0	y	9	b	y_9	12
5	C10.jpg	92.75569325626749	0.0	y	9	b	y_9	12
6	D8.jpg	58.10596142687064	1.0	y	9	b	y_9	12
7	E2.jpg	53.17956368180603	0.0	y	9	b	y_9	12
8	E4.jpg	59.88751908557788	0.0	y	9	b	y_9	12
9	E9.jpg	63.419505865877	0.0	y	9	b	y_9	12
1	A11.jpg	37.81566127678161	0.0	y	10	a	y_10	13
2	B12.jpg	26.918176358845813	0.0	y	10	a	y_10	13
3	C4.jpg	15.24710677226176	1.0	y	10	a	y_10	13
4	C12.jpg	25.102792653633514	0.0	y	10	a	y_10	13
5	D7.jpg	26.891230035107583	0.0	y	10	a	y_10	13
6	D12.jpg	23.773323710851397	0.0	y	10	a	y_10	13
7	E1.jpg	54.764377396841155	0.0	y	10	a	y_10	13
8	E5.jpg	25.032436973018772	0.0	y	10	a	y_10	13
9	E7.jpg	12.395021622218337	0.0	y	10	a	y_10	13
1	A10.jpg	14.79513313710049	1.0	y	10	b	y_10	13
